date,imae,ocupados,tasa_deso,ipc,tpm,salario_hora,sal_real_idx,sal_nom_idx,remesas,lpib,locu,lipc,lsalnom,lsalreal
2016-03-31,86.819824,4169188.996593,7.617529,88.65158,5.0,90.81,102.434723,90.81,1289332974.054521,4.463835,15.243232,4.484714,4.508769,4.629226
2016-06-30,90.769338,4262978.029601,7.401247,88.722725,5.0,91.48,103.107744,91.48,1300779300.973682,4.508322,15.265479,4.485516,4.51612,4.635775
2016-09-30,90.99342,4306669.363617,6.948519,89.296791,5.0,91.73,102.724856,91.73,1317891928.008299,4.510787,15.275675,4.491966,4.518849,4.632054
2016-12-31,90.705624,4310845.323768,6.353002,89.92483,5.33,92.93,103.341869,92.93,1352842349.316689,4.507619,15.276645,4.498974,4.531847,4.638043
2017-03-31,91.454147,4338991.550813,5.898447,91.256959,5.5,93.38,102.326443,93.38,1454908950.531348,4.515838,15.283153,4.513679,4.536677,4.628168
2017-06-30,93.062948,4387124.432279,5.370533,91.433594,5.75,95.26,104.184901,95.26,1453614448.136011,4.533276,15.294185,4.515613,4.55661,4.646167
2017-09-30,93.491273,4372602.096674,5.661573,92.130325,5.42,96.01,104.211073,96.01,1506783215.9741,4.537868,15.290869,4.523204,4.564452,4.646418
2017-12-31,95.29055,4431911.735886,5.104632,93.469813,5.25,98.16,105.017862,98.16,1496451065.917328,4.556931,15.304342,4.537639,4.586599,4.65413
2018-03-31,97.320678,4495637.75515,5.307649,94.630213,5.25,106.18,112.205179,106.18,1550910484.591937,4.578011,15.318618,4.549977,4.665136,4.720329
2018-06-30,99.718652,4520796.831258,5.820549,95.439794,5.25,108.47,113.652802,108.47,1664897357.572829,4.602353,15.324199,4.558496,4.686474,4.733148
2018-09-30,101.427125,4558421.78013,5.645624,95.685122,5.42,110.87,115.869634,110.87,1650626646.955308,4.619341,15.332487,4.561063,4.708358,4.752466
2018-12-31,101.40595,4582165.942053,5.848902,95.663042,5.5,113.98,119.147371,113.98,1627629165.125961,4.619132,15.337682,4.560832,4.736023,4.780361
2019-03-31,102.937222,4648638.148907,5.843148,95.694935,5.5,116.68,121.929129,116.68,1743201620.026806,4.634119,15.352085,4.561165,4.759435,4.80344
2019-06-30,104.516713,4657061.293829,6.44337,96.659072,5.5,112.94,116.843662,112.94,1714152489.895922,4.649347,15.353895,4.57119,4.726857,4.760837
2019-09-30,106.555444,4631182.56496,6.531176,97.32391,4.75,111.58,114.648086,111.58,1835564749.943006,4.668665,15.348323,4.578045,4.714742,4.741867
2019-12-31,105.573916,4716189.482201,5.850336,98.646226,4.5,113.77,115.331326,113.77,1794126674.593038,4.659411,15.366512,4.59154,4.734179,4.747809
2020-03-31,101.529388,4605874.19522,5.680803,98.970058,4.17,115.8,117.005084,115.8,1703208013.794092,4.620348,15.342843,4.594817,4.751865,4.762217
