year,quarter,pib_indice_sa,ipc_promedio_trim,salario_hora_rd,ocupados,tasa_desocupacion,inflacion_trimestral,salario_real,tpm_promedio_trim
2016,I,86.8198238543951,88.65157953132474,90.81,4169188.99659276,7.617529093200018,,0.024056,5.0
2016,II,90.7693378677828,88.72272453371595,91.48,4262978.02960136,7.401247154214532,0.000802,0.030604,5.0
2016,III,90.9934198832201,89.2967911047346,91.73,4306669.36361724,6.9485189009735535,0.00645,0.026884,5.0
2016,IV,90.7056237526216,89.92482974653278,92.93,4310845.32376785,6.353001617228575,0.007009,0.032872,5.33
2017,I,91.4541474810178,91.25695858440939,93.38,4338991.5508133,5.898447238383543,0.014705,0.022998,5.5
2017,II,93.0629484654013,91.43359445241511,95.26,4387124.43227944,5.370532521124378,0.001934,0.040997,5.75
2017,III,93.4912731956254,92.13032482065996,96.01,4372602.09667375,5.66157308458217,0.007591,0.041248,5.42
2017,IV,95.2905503715994,93.46981348637014,98.16,4431911.73588593,5.104631761809251,0.014434,0.04896,5.25
2018,I,97.3206784134438,94.63021300813007,106.18,4495637.75515019,5.307648806701049,0.012338,0.115159,5.25
2018,II,99.7186524043302,95.43979406982304,108.47,4520796.83125792,5.8205490550328625,0.008519,0.127978,5.25
2018,III,101.427125323796,95.68512166427546,110.87,4558421.78012985,5.645623747146584,0.002567,0.147296,5.42
2018,IV,101.405950424586,95.66304218077471,113.98,4582165.94205326,5.84890214062224,-0.000231,0.175191,5.5
2019,I,102.937222447343,95.69493476805356,116.68,4648638.14890696,5.843147938086716,0.000333,0.19827,5.5
2019,II,104.516712502871,96.65907221425154,112.94,4657061.29382875,6.443369694765969,0.010025,0.155667,5.5
2019,III,106.555443910908,97.3239099952176,111.58,4631182.56496007,6.531175758722747,0.006855,0.136697,4.75
2019,IV,105.573915802074,98.64622572931613,113.77,4716189.4822006,5.850336173568585,0.013495,0.142639,4.5
2020,I,101.529387611022,98.97005815399329,115.8,4605874.19521961,5.680803137752035,0.003277,0.157047,4.17
2020,II,86.5710560548057,98.25615485413675,98.77,4246694.65773465,3.17309669130006,-0.007239,0.005216,3.5
2020,III,98.3444927807363,101.9262556671449,103.24,4295450.5002506,7.102126005764939,0.036672,0.012807,3.33
2020,IV,99.9678577790577,103.85433333333333,104.33,4414601.06858092,7.359822883175511,0.01874,0.00457,3.0
2021,I,106.264271414868,106.09733333333332,111.93,4413382.95998518,8.019130336995614,0.021368,0.053517,3.0
2021,II,109.656657287926,107.89733333333334,108.64,4532707.74628725,7.621263404000948,0.016823,0.00686,3.0
2021,III,111.264707364354,109.914,108.6,4598408.9272918,6.794269419188649,0.018518,-0.012027,3.0
2021,IV,113.596707154038,112.31766666666665,114.45,4682079.49024447,7.101101375462651,0.021633,0.018807,3.17
2022,I,115.095552085997,115.56366666666668,116.33,4640112.60577035,6.428590466130936,0.02849,0.006609,4.83
2022,II,116.201857412208,118.181,118.94,4701509.10122933,5.1686925738878955,0.022396,0.006402,5.83
2022,III,116.069232806805,119.752,118.97,4633134.70236413,4.793833677293955,0.013206,-0.006552,7.67
2022,IV,116.556928857072,121.16633333333334,124.61,4774758.09771012,4.781670633744701,0.011741,0.028025,8.42
2023,I,117.234307629711,123.07916666666667,130.33,4768740.10240525,5.226851455846897,0.015664,0.057242,8.5
2023,II,117.646376839111,123.52766666666666,136.71,4763412.35630167,5.649046185028152,0.003637,0.101397,8.33
2023,III,119.23871881602,124.794,138.34,4856141.06162368,5.353006578471777,0.010199,0.10305,7.67
2023,IV,119.816211252101,125.97786666666667,144.64,4952942.08089638,4.992337370362435,0.009442,0.138142,7.25
2024,I,122.444574251948,127.18233333333335,146.19,4940966.25624393,5.14771804059506,0.009516,0.139285,7.0
2024,II,124.53107530103,127.51813333333332,149.28,5002384.3947027,5.327636826342868,0.002637,0.157565,7.0
2024,III,125.198828996891,129.05686666666668,152.13,5029863.87593564,5.258095808445655,0.011995,0.164482,6.92
2024,IV,125.129236456774,130.0458,157.94,5050930.25271501,4.809032684661992,0.007634,0.194329,6.25
2025,I,125.754560488138,131.6207,162.59,5117547.59838953,4.869068105218901,0.012038,0.211307,5.75
2025,II,126.86564009968,132.23596666666666,163.15,5123548.42836144,4.9505085926147,0.004664,0.210082,5.75
2025,III,127.476436206055,133.7332,164.29,5149829.12250004,5.289110138080534,0.011259,0.205786,5.75
2025,IV,127.621850073421,136.11346666666668,170.23,5168878.09002173,5.023935622901469,0.017642,0.223662,5.33
